state,yr,qtr,index_nsa,index_sa,note
AK,2000,2,141,140.02,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2000,3,141.38,140.53,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2000,4,141.59,142,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2001,1,144.39,145.34,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2001,2,148.46,147.42,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2001,3,151.59,150.67,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2001,4,153.23,153.66,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2002,1,153.85,154.82,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2002,2,159.11,158.09,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2002,3,162.05,161.04,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2002,4,162.07,162.44,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2003,1,166.27,167.4,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2003,2,169.27,168.22,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2003,3,172.05,170.93,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2003,4,175.19,175.5,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2004,1,178.06,179.44,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2004,2,184.09,182.93,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2004,3,188.35,186.99,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2004,4,192.57,192.76,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2005,1,197.82,199.83,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2005,2,204.04,202.54,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2005,3,211.35,209.66,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2005,4,214.34,214.49,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2006,1,216.32,218.99,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2006,2,224.85,222.98,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2006,3,227.26,225.27,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2006,4,227.07,227.07,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2007,1,226.91,230.33,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2007,2,234.76,232.53,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2007,3,233.72,231.48,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2007,4,229.73,229.77,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2008,1,221.47,225.06,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2008,2,231.47,229.18,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2008,3,232.63,230.22,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2008,4,225.73,225.83,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2009,1,228.94,232.87,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2009,2,227.46,225.04,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2009,3,226.28,223.81,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2009,4,226.01,226.42,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2010,1,221.58,225.26,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2010,2,229.15,226.66,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2010,3,229.76,227.09,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2010,4,226.33,227.1,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2011,1,227.19,230.96,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2011,2,227.74,224.99,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2011,3,229.38,226.55,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2011,4,224.61,225.91,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2012,1,222.33,225.82,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2012,2,233.45,230.46,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2012,3,232.87,229.95,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2012,4,231.3,232.87,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2013,1,232.42,236.2,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2013,2,239.89,236.41,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2013,3,240.1,237.35,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2013,4,233.37,234.93,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2014,1,232.98,236.79,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2014,2,245.73,241.97,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2014,3,247.99,245.55,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2014,4,243.77,244.99,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2015,1,245,249.16,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2015,2,252.99,248.95,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2015,3,253.47,251.53,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2015,4,256.35,257.14,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2016,1,252.5,256.69,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2016,2,263.42,259.32,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2016,3,259.52,258.03,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2016,4,259.29,259.52,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2017,1,253.86,258.11,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2017,2,260.18,256.13,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2017,3,266.6,265.54,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2017,4,263.42,263.23,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2018,1,260.52,264.86,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2018,2,268.2,264.07,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2018,3,264.92,264.07,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2018,4,268.16,267.75,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK,2019,1,268.11,272.61,Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AL,1991,1,100,100,
AL,1991,2,101.63,101.32,
AL,1991,3,102.49,101.81,
AL,1991,4,103.46,102.85,
AL,1992,1,104.34,104.31,
AL,1992,2,105.25,104.94,
AL,1992,3,106.59,105.88,
AL,1992,4,108.21,107.61,
AL,1993,1,107.86,107.79,
AL,1993,2,109.9,109.59,
AL,1993,3,111.72,110.95,
AL,1993,4,112.7,112.13,
AL,1994,1,114.27,114.16,
AL,1994,2,115.92,115.6,
AL,1994,3,117.49,116.65,
AL,1994,4,119.25,118.7,
AL,1995,1,120.51,120.35,
AL,1995,2,121.73,121.41,
AL,1995,3,122.49,121.58,
AL,1995,4,122.48,121.95,
AL,1996,1,122.77,122.61,
AL,1996,2,125.86,125.5,
AL,1996,3,127.45,126.52,
AL,1996,4,128.58,128.01,
AL,1997,1,129.62,129.46,
AL,1997,2,130.26,129.87,
AL,1997,3,131.99,131.07,
AL,1997,4,132.53,131.91,
AL,1998,1,132.57,132.42,
AL,1998,2,134.69,134.24,
AL,1998,3,136.76,135.87,
AL,1998,4,138.13,137.44,
AL,1999,1,138.54,138.39,
AL,1999,2,140.82,140.3,
AL,1999,3,141.59,140.75,
AL,1999,4,143.61,142.88,
AL,2000,1,145.34,145.18,
AL,2000,2,146.16,145.58,
AL,2000,3,147.45,146.63,
AL,2000,4,148.22,147.47,
AL,2001,1,149.15,149.01,
AL,2001,2,150.29,149.66,
AL,2001,3,151.01,150.14,
AL,2001,4,152.42,151.69,
AL,2002,1,152.21,152.07,
AL,2002,2,153.85,153.2,
AL,2002,3,154.57,153.61,
AL,2002,4,155.77,155.07,
AL,2003,1,157.1,157.02,
AL,2003,2,159.05,158.32,
AL,2003,3,161.58,160.51,
AL,2003,4,162.14,161.45,
AL,2004,1,160.91,160.91,
AL,2004,2,164.36,163.53,
AL,2004,3,168.59,167.38,
AL,2004,4,170.25,169.6,
AL,2005,1,173.16,173.29,
AL,2005,2,177.5,176.49,
AL,2005,3,180.69,179.29,
AL,2005,4,183.49,182.84,
AL,2006,1,187.06,187.43,
AL,2006,2,190.33,189.05,
AL,2006,3,191.32,189.78,
AL,2006,4,192.54,191.81,
AL,2007,1,190.99,191.73,
AL,2007,2,192.88,191.28,
AL,2007,3,192.53,191.01,
AL,2007,4,189.59,188.75,
AL,2008,1,186.87,187.98,
AL,2008,2,186.85,185.03,
AL,2008,3,183.65,182.21,
AL,2008,4,178.43,177.56,
AL,2009,1,171.83,173.1,
AL,2009,2,175.02,173.15,
AL,2009,3,172.91,171.54,
AL,2009,4,171.33,170.43,
AL,2010,1,163.98,165.39,
AL,2010,2,164.13,162.34,
AL,2010,3,157.76,156.4,
AL,2010,4,155.51,154.74,
AL,2011,1,152.76,154.1,
AL,2011,2,154.89,153.24,
AL,2011,3,153.56,152.12,
AL,2011,4,151.35,150.7,
AL,2012,1,151.63,152.92,
AL,2012,2,149.93,148.36,
AL,2012,3,151.45,149.86,
AL,2012,4,155.29,154.81,
AL,2013,1,149.88,151.02,
AL,2013,2,154.22,152.63,
AL,2013,3,156.96,155.24,
AL,2013,4,154.19,153.87,
AL,2014,1,154.57,155.68,
AL,2014,2,157.93,156.23,
AL,2014,3,159.29,157.53,
AL,2014,4,159.34,159.19,
AL,2015,1,159.39,160.47,
AL,2015,2,163.81,161.88,
AL,2015,3,163.51,161.8,
AL,2015,4,163.48,163.45,
AL,2016,1,163.11,164.16,
AL,2016,2,168.79,166.62,
AL,2016,3,168.91,167.27,
AL,2016,4,169.39,169.48,
AL,2017,1,170.19,171.18,
AL,2017,2,174.97,172.6,
AL,2017,3,176.3,174.7,
AL,2017,4,176.23,176.36,
AL,2018,1,178.09,179.09,
AL,2018,2,184.37,181.82,
AL,2018,3,185.18,183.5,
AL,2018,4,183.85,184.06,
AL,2019,1,185.84,186.82,
AR,1991,1,100,100,
AR,1991,2,100.39,100.1,
AR,1991,3,102.01,101.72,
AR,1991,4,103.62,103.42,
AR,1992,1,104.01,104.01,
AR,1992,2,103.27,102.95,
AR,1992,3,105.24,104.91,
AR,1992,4,105.96,105.8,
AR,1993,1,106.5,106.51,
AR,1993,2,109.56,109.18,
AR,1993,3,110.5,110.14,
AR,1993,4,111.87,111.77,
AR,1994,1,113.9,113.93,
AR,1994,2,115.99,115.54,
AR,1994,3,116.44,116.02,
AR,1994,4,117.38,117.35,
AR,1995,1,119.03,119.06,
AR,1995,2,120.75,120.24,
AR,1995,3,122.94,122.47,
AR,1995,4,123.62,123.66,
AR,1996,1,125,125,
AR,1996,2,126.6,126.09,
AR,1996,3,126.35,125.83,
AR,1996,4,127.65,127.72,
AR,1997,1,127.59,127.56,
AR,1997,2,128.52,128.04,
AR,1997,3,129.83,129.29,
AR,1997,4,129.79,129.85,
AR,1998,1,130.46,130.4,
AR,1998,2,131.58,131.13,
AR,1998,3,132.55,132.01,
AR,1998,4,133.43,133.44,
AR,1999,1,135.48,135.42,
AR,1999,2,136.64,136.23,
AR,1999,3,137.2,136.62,
AR,1999,4,137.54,137.52,
AR,2000,1,138.48,138.39,
AR,2000,2,141.24,140.91,
AR,2000,3,140.72,140.05,
AR,2000,4,142.68,142.65,
AR,2001,1,144.03,143.94,
AR,2001,2,145.26,145.01,
AR,2001,3,147.09,146.3,
AR,2001,4,147.85,147.8,
AR,2002,1,148.64,148.55,
AR,2002,2,150.1,149.94,
AR,2002,3,153.07,152.17,
AR,2002,4,153.37,153.29,
AR,2003,1,155.88,155.83,
AR,2003,2,157.83,157.69,
AR,2003,3,161.04,160.03,
AR,2003,4,161.1,161.01,
AR,2004,1,165.04,165.05,
AR,2004,2,168.26,168.07,
AR,2004,3,172.03,170.94,
AR,2004,4,174.47,174.37,
AR,2005,1,176.5,176.59,
AR,2005,2,179.36,179.08,
AR,2005,3,183.42,182.2,
AR,2005,4,186.74,186.68,
AR,2006,1,187.99,188.21,
AR,2006,2,191.02,190.62,
AR,2006,3,193.46,192.08,
AR,2006,4,194.46,194.45,
AR,2007,1,195.22,195.69,
AR,2007,2,196.63,196.06,
AR,2007,3,196.16,194.6,
AR,2007,4,193.86,193.92,
AR,2008,1,192.97,193.69,
AR,2008,2,191.16,190.44,
AR,2008,3,190.02,188.36,
AR,2008,4,183.54,183.68,
AR,2009,1,181,181.93,
AR,2009,2,182.14,181.24,
AR,2009,3,183.21,181.49,
AR,2009,4,181.33,181.56,
AR,2010,1,175.86,176.96,
AR,2010,2,180.2,179.09,
AR,2010,3,176.89,175.19,
AR,2010,4,174.12,174.44,
AR,2011,1,172,173.21,
AR,2011,2,170.82,169.55,
AR,2011,3,174.42,172.77,
AR,2011,4,173.36,173.78,
AR,2012,1,173.9,175.16,
AR,2012,2,179.24,177.76,
AR,2012,3,180.07,178.43,
AR,2012,4,179.26,179.77,
AR,2013,1,180.31,181.55,
AR,2013,2,183.24,181.71,
AR,2013,3,183.19,181.56,
AR,2013,4,180.3,180.85,
AR,2014,1,181.8,182.9,
AR,2014,2,185.14,183.73,
AR,2014,3,187.37,185.74,
AR,2014,4,186.21,186.67,
AR,2015,1,184.47,185.46,
AR,2015,2,190.41,189.17,
AR,2015,3,191.57,190,
AR,2015,4,191.5,191.73,
AR,2016,1,192.48,193.42,
AR,2016,2,195.47,194.41,
AR,2016,3,198.69,197.19,
AR,2016,4,198.49,198.42,
AR,2017,1,200.55,201.47,
AR,2017,2,203.21,202.31,
AR,2017,3,206.94,205.5,
AR,2017,4,208.66,208.33,
AR,2018,1,209.35,210.25,
AR,2018,2,213.21,212.42,
AR,2018,3,215.91,214.52,
AR,2018,4,218.76,218.25,
AR,2019,1,219.02,219.92,
AZ,1991,1,100,100,
AZ,1991,2,99.75,99.76,
AZ,1991,3,101.06,100.41,
AZ,1991,4,101.64,101.32,
AZ,1992,1,101.32,101.33,
AZ,1992,2,101.55,101.53,
AZ,1992,3,103.08,102.45,
AZ,1992,4,103.37,103.05,
AZ,1993,1,104.34,104.37,
AZ,1993,2,105.5,105.42,
AZ,1993,3,107.32,106.68,
AZ,1993,4,108.21,107.92,
AZ,1994,1,109.44,109.47,
AZ,1994,2,112.15,111.99,
AZ,1994,3,114.67,114.05,
AZ,1994,4,116.62,116.33,
AZ,1995,1,118.08,118.1,
AZ,1995,2,120.02,119.77,
AZ,1995,3,121.79,121.2,
AZ,1995,4,123.22,122.93,
AZ,1996,1,124.83,124.84,
AZ,1996,2,126.54,126.21,
AZ,1996,3,128.61,128.06,
AZ,1996,4,129.07,128.75,
AZ,1997,1,130.19,130.19,
AZ,1997,2,131.69,131.29,
AZ,1997,3,133.1,132.59,
AZ,1997,4,134.79,134.45,
AZ,1998,1,136.17,136.19,
AZ,1998,2,138.58,138.11,
AZ,1998,3,140.71,140.2,
AZ,1998,4,142.79,142.4,
AZ,1999,1,144.4,144.48,
AZ,1999,2,147.46,146.91,
AZ,1999,3,149.81,149.28,
AZ,1999,4,152.37,151.93,
AZ,2000,1,154.96,155.12,
AZ,2000,2,157.96,157.32,
AZ,2000,3,159.91,159.33,
AZ,2000,4,161.99,161.5,
AZ,2001,1,163.44,163.69,
AZ,2001,2,166.85,166.18,
AZ,2001,3,169.05,168.36,
AZ,2001,4,171.22,170.69,
AZ,2002,1,172.33,172.7,
AZ,2002,2,175.92,175.21,
AZ,2002,3,178.77,177.92,
AZ,2002,4,180.58,180.04,
AZ,2003,1,183.51,184.03,
AZ,2003,2,187.65,186.88,
AZ,2003,3,191.19,190.1,
AZ,2003,4,195.75,195.21,
AZ,2004,1,200.17,200.88,
AZ,2004,2,208.58,207.74,
AZ,2004,3,219.66,218.18,
AZ,2004,4,232.91,232.33,
AZ,2005,1,249.64,250.75,
AZ,2005,2,275.07,274.01,
AZ,2005,3,299.4,296.98,
AZ,2005,4,312.1,311.29,
AZ,2006,1,320.33,322.2,
AZ,2006,2,327.4,326.28,
AZ,2006,3,327.13,323.97,
AZ,2006,4,323.15,322.14,
AZ,2007,1,316.9,319.33,
AZ,2007,2,309.34,308.29,
AZ,2007,3,296.91,293.76,
AZ,2007,4,277.07,276.03,
AZ,2008,1,255.46,257.79,
AZ,2008,2,239.52,238.62,
AZ,2008,3,221.76,219.36,
AZ,2008,4,198.81,197.98,
AZ,2009,1,176.22,178.01,
AZ,2009,2,170.42,169.6,
AZ,2009,3,172.62,170.84,
AZ,2009,4,172.69,172.01,
AZ,2010,1,167.69,169.41,
AZ,2010,2,167.69,166.68,
AZ,2010,3,161.51,159.99,
AZ,2010,4,155.96,155.48,
AZ,2011,1,151.21,152.65,
AZ,2011,2,151.78,150.65,
AZ,2011,3,152.01,150.77,
AZ,2011,4,155.23,154.98,
AZ,2012,1,160.89,162.12,
AZ,2012,2,172.66,171.27,
AZ,2012,3,180.61,179.32,
AZ,2012,4,187.17,187.11,
AZ,2013,1,194.22,195.31,
AZ,2013,2,204.54,202.9,
AZ,2013,3,211,209.61,
AZ,2013,4,214.72,214.88,
AZ,2014,1,217.69,218.5,
AZ,2014,2,222.26,220.64,
AZ,2014,3,224.87,223.47,
AZ,2014,4,225.89,226.14,
AZ,2015,1,229.37,229.88,
AZ,2015,2,235.31,233.77,
AZ,2015,3,239.59,238.24,
AZ,2015,4,242.04,242.32,
AZ,2016,1,245.54,245.73,
AZ,2016,2,251.26,249.79,
AZ,2016,3,255.89,254.66,
AZ,2016,4,258.83,259.05,
AZ,2017,1,264.85,264.8,
AZ,2017,2,271.2,269.73,
AZ,2017,3,275.44,274.32,
AZ,2017,4,280.25,280.42,
AZ,2018,1,287.25,286.97,
AZ,2018,2,293.66,292.13,
AZ,2018,3,299.25,298.22,
AZ,2018,4,304.47,304.59,
AZ,2019,1,309.35,308.93,
CA,1991,1,100,100,
CA,1991,2,100.38,99.64,
CA,1991,3,100.47,99.48,
CA,1991,4,99.87,99.24,
CA,1992,1,98.46,98.47,
CA,1992,2,97.33,96.6,
CA,1992,3,97.03,96.06,
CA,1992,4,95.21,94.63,
CA,1993,1,93.17,93.18,
CA,1993,2,92.53,91.82,
CA,1993,3,91.37,90.45,
CA,1993,4,90.15,89.63,
CA,1994,1,88.59,88.61,
CA,1994,2,89.56,88.84,
CA,1994,3,89.34,88.43,
CA,1994,4,88.64,88.18,
CA,1995,1,87.71,87.71,
CA,1995,2,88.04,87.3,
CA,1995,3,87.88,86.99,
CA,1995,4,86.95,86.55,
CA,1996,1,86.46,86.45,
CA,1996,2,86.9,86.13,
CA,1996,3,87.18,86.3,
CA,1996,4,86.77,86.41,
CA,1997,1,86.82,86.79,
CA,1997,2,88.21,87.4,
CA,1997,3,89.36,88.48,
CA,1997,4,90.23,89.89,
CA,1998,1,91.81,91.76,
CA,1998,2,94.74,93.85,
CA,1998,3,96.73,95.79,
CA,1998,4,98.36,98,
CA,1999,1,100.11,100.06,
CA,1999,2,104.12,103.12,
CA,1999,3,105.82,104.78,
CA,1999,4,108.18,107.78,
CA,2000,1,111.68,111.67,
CA,2000,2,116.66,115.55,
CA,2000,3,120.49,119.25,
CA,2000,4,124.38,123.9,
CA,2001,1,127.44,127.5,
CA,2001,2,131.01,129.79,
CA,2001,3,134.21,132.72,
CA,2001,4,135.81,135.27,
CA,2002,1,139.7,139.85,
CA,2002,2,147.24,145.92,
CA,2002,3,153.95,152.1,
CA,2002,4,158.75,158.12,
CA,2003,1,163.05,163.32,
CA,2003,2,171.29,169.8,
CA,2003,3,179.91,177.64,
CA,2003,4,188.38,187.59,
CA,2004,1,198.43,198.86,
CA,2004,2,214.14,212.35,
CA,2004,3,227.96,224.97,
CA,2004,4,237.39,236.27,
CA,2005,1,248.51,249.22,
CA,2005,2,262.77,260.7,
CA,2005,3,275.13,271.38,
CA,2005,4,280.98,279.41,
CA,2006,1,283.47,284.51,
CA,2006,2,286.02,284.02,
CA,2006,3,283.9,279.81,
CA,2006,4,278.29,276.42,
CA,2007,1,270.46,271.8,
CA,2007,2,261.21,259.5,
CA,2007,3,248.11,244.39,
CA,2007,4,226.8,225.06,
CA,2008,1,203.5,204.75,
CA,2008,2,189.25,188.05,
CA,2008,3,176.74,174.01,
CA,2008,4,163.22,161.88,
CA,2009,1,151.62,152.72,
CA,2009,2,149.64,148.58,
CA,2009,3,152.49,150.13,
CA,2009,4,153.65,152.43,
CA,2010,1,151.53,152.69,
CA,2010,2,153.97,152.73,
CA,2010,3,151.27,148.96,
CA,2010,4,148.12,147.07,
CA,2011,1,144.82,145.91,
CA,2011,2,145.43,144.05,
CA,2011,3,145.2,143.08,
CA,2011,4,143.91,143.09,
CA,2012,1,143.68,144.64,
CA,2012,2,150.21,148.61,
CA,2012,3,155.48,153.34,
CA,2012,4,160.66,159.93,
CA,2013,1,167.01,167.96,
CA,2013,2,178.73,176.66,
CA,2013,3,187.54,185.11,
CA,2013,4,191.96,191.28,
CA,2014,1,195.38,196.24,
CA,2014,2,202.58,200.19,
CA,2014,3,206.56,204.03,
CA,2014,4,208.51,207.86,
CA,2015,1,211.47,212.15,
CA,2015,2,218.98,216.44,
CA,2015,3,222.28,219.7,
CA,2015,4,224.19,223.54,
CA,2016,1,228.1,228.56,
CA,2016,2,234.53,231.92,
CA,2016,3,239.03,236.39,
CA,2016,4,242.12,241.4,
CA,2017,1,246.36,246.65,
CA,2017,2,254.07,251.37,
CA,2017,3,258.89,256.11,
CA,2017,4,263.45,262.63,
CA,2018,1,267.6,267.77,
CA,2018,2,275.04,272.23,
CA,2018,3,279.82,276.86,
CA,2018,4,281.04,280.13,
CA,2019,1,283.57,283.69,
CO,1991,1,100,100,
CO,1991,2,100.53,99.87,
CO,1991,3,101.85,100.99,
CO,1991,4,103.06,102.93,
CO,1992,1,104.61,104.68,
CO,1992,2,107.66,106.89,
CO,1992,3,110,109.07,
CO,1992,4,112.26,112.12,
CO,1993,1,114.48,114.67,
CO,1993,2,119.51,118.53,
CO,1993,3,123.94,122.86,
CO,1993,4,126.85,126.76,
CO,1994,1,130.38,130.63,
CO,1994,2,135.42,134.2,
CO,1994,3,137.97,136.81,
CO,1994,4,139.9,139.84,
CO,1995,1,142.03,142.27,
CO,1995,2,147.08,145.73,
CO,1995,3,149.76,148.54,
CO,1995,4,150.83,150.85,
CO,1996,1,152.98,153.07,
CO,1996,2,156.36,155,
CO,1996,3,158.01,156.83,
CO,1996,4,159.7,159.65,
CO,1997,1,162.01,162.02,
CO,1997,2,164.91,163.59,
CO,1997,3,167.14,165.87,
CO,1997,4,167.88,167.82,
CO,1998,1,171.7,171.64,
CO,1998,2,175.9,174.56,
CO,1998,3,179.5,178.18,
CO,1998,4,182.28,182.08,
CO,1999,1,186.13,186.12,
CO,1999,2,192.94,191.54,
CO,1999,3,198.68,197.17,
CO,1999,4,202.98,202.7,
CO,2000,1,208.67,208.66,
CO,2000,2,216.24,214.73,
CO,2000,3,222.15,220.56,
CO,2000,4,227.65,227.15,
CO,2001,1,232.91,232.9,
CO,2001,2,238.4,236.85,
CO,2001,3,242.6,240.87,
CO,2001,4,243.6,242.92,
CO,2002,1,245.23,245.27,
CO,2002,2,250.11,248.52,
