,,,,,,,,Federal Housing Finance Agency,,,,,,
1996,04,7.75,1.28,7.96,26.6,127.7,169.8,78.2,,,,,,
1996,05,7.81,1.26,8.03,26.4,122.7,160.5,78.8,,,,,,
1996,06,7.94,1.41,8.28,24.6,127.8,166.2,78.4,,,,,,
1996,07,8.06,1.39,8.30,25.6,128.3,171.4,76.5,,,,,,
1996,08,8.09,1.48,8.34,26.6,132.0,172.6,78.4,,,,,,
1996,09,8.08,1.41,8.32,26.6,128.0,171.5,76.6,,,,,,
1996,10,8.08,1.14,8.27,26.3,130.1,176.4,76.1,,,,,,
1996,11,7.85,1.27,8.06,26.5,131.6,175.1,77.3,,,,,,
1996,12,7.78,1.03,7.95,27.4,121.9,160.8,78.6,,,,,,
1997,01,7.83,1.04,8.00,27.6,124.9,161.8,79.8,,,,,,
1997,02,7.83,1.04,8.00,27.8,121.8,155.3,80.7,,,,,,
1997,03,7.88,0.99,8.04,27.6,123.9,159.3,80.9,,,,,,
1997,04,8.03,1.06,8.21,27.5,127.8,163.1,81.6,,,,,,
1997,05,8.06,1.02,8.22,27.7,128.1,165.7,80.0,,,,,,
1997,06,7.95,1.05,8.12,27.6,134.4,173.6,79.9,,,,,,
1997,07,7.76,1.07,7.93,28.5,135.4,173.1,80.9,,,,,,
1997,08,7.68,1.06,7.85,27.7,138.8,179.6,80.0,,,,,,
1997,09,7.68,1.15,7.86,27.8,137.8,180.0,78.9,,,,,,
1997,10,7.57,0.96,7.72,27.7,133.8,172.9,80.1,,,,,,
1997,11,7.44,0.93,7.58,28.3,135.3,173.6,80.7,,,,,,
1997,12,7.39,0.97,7.54,27.8,140.4,178.0,81.5,,,,,,
1998,01,7.23,0.90,7.37,28.3,136.7,176.9,80.7,,,,,,
1998,02,7.21,1.00,7.37,27.7,142.5,188.0,78.6,,,,,,
1998,03,7.15,0.96,7.30,27.9,139.5,177.7,81.6,,,,,,
1998,04,7.18,0.89,7.32,28.1,138.0,177.6,80.6,,,,,,
1998,05,7.19,0.88,7.32,27.9,140.1,183.0,79.1,,,,,,
1998,06,7.15,0.87,7.29,28.0,141.6,180.8,81.4,,,,,,
1998,07,7.13,0.95,7.28,28.1,150.4,196.2,78.8,,,,,,
1998,08,7.08,0.91,7.22,28.2,142.2,180.2,81.8,,,,,,
1998,09,6.95,0.88,7.08,28.5,143.8,183.1,81.4,,,,,,
1998,10,6.83,0.91,6.97,28.4,148.7,192.5,80.0,,,,,,
1998,11,6.79,0.80,6.91,28.0,138.2,179.3,79.8,,,,,,
1998,12,6.89,1.01,7.05,28.5,152.4,197.7,79.5,,,,,,
1999,01,6.94,1.06,7.10,28.1,145.5,192.2,78.2,,,,,,
1999,02,6.96,0.99,7.11,28.3,146.3,192.3,78.3,,,,,,
1999,03,6.94,0.87,7.07,28.4,152.1,196.6,79.9,,,,,,
1999,04,6.96,0.83,7.09,28.5,149.1,192.8,79.6,,,,,,
1999,05,7.04,0.74,7.15,28.3,146.8,188.8,80.0,,,,,,
1999,06,7.26,0.77,7.38,27.8,138.4,183.0,78.6,,,,,,
1999,07,7.39,0.87,7.53,28.2,143.6,189.9,78.5,,,,,,
1999,08,7.66,0.81,7.78,27.3,135.4,178.7,78.2,,,,,,
1999,09,7.79,0.82,7.92,28.2,135.5,177.6,78.5,,,,,,
1999,10,7.79,0.92,7.93,28.5,143.7,186.6,79.4,,,,,,
1999,11,7.78,0.96,7.93,28.3,146.0,196.0,76.8,,,,,,
1999,12,7.81,0.90,7.95,28.2,145.2,190.0,78.3,,,,,,
2000,01,7.96,0.95,8.11,28.4,149.9,200.7,77.4,,,,,,
2000,02,8.17,0.89,8.31,28.3,142.9,189.6,77.6,,,,,,
2000,03,8.18,0.85,8.31,28.1,145.6,196.1,77.0,,,,,,
2000,04,8.17,0.85,8.31,28.4,142.0,189.6,77.3,,,,,,
2000,05,8.22,0.91,8.37,28.6,150.8,201.5,77.5,,,,,,
2000,06,8.30,0.88,8.44,28.6,145.3,198.8,76.1,,,,,,
2000,07,8.21,0.82,8.34,28.7,148.5,199.0,77.2,,,,,,
2000,08,8.09,0.83,8.22,28.8,153.4,204.6,77.3,,,,,,
2000,09,8.00,0.86,8.13,28.7,158.5,213.0,76.5,,,,,,
2000,10,7.88,0.80,8.01,28.9,156.2,209.8,76.9,,,,,,
2000,11,7.78,0.80,7.91,28.8,160.3,218.1,75.7,,,,,,
2000,12,7.57,0.81,7.70,28.9,167.1,224.3,76.8,,,,,,
2001,01,7.28,0.81,7.40,29.2,163.0,213.9,78.5,,,,,,
2001,02,7.09,0.77,7.20,28.8,168.2,222.1,78.2,,,,,,
2001,03,7.03,0.71,7.14,28.6,169.0,226.6,77.2,,,,,,
2001,04,7.04,0.77,7.16,28.3,170.9,227.0,77.8,,,,,,
2001,05,7.12,0.74,7.23,28.4,171.7,229.3,77.5,,,,,,
2001,06,7.17,0.71,7.27,28.5,178.3,237.6,77.2,,,,,,
2001,07,7.16,0.71,7.27,28.5,168.5,225.5,77.1,,,,,,
2001,08,7.24,0.67,7.34,28.4,166.1,222.5,76.7,,,,,,
2001,09,6.95,0.67,7.05,28.7,171.0,229.8,77.0,,,,,,
2001,10,6.74,0.73,6.86,28.3,172.5,230.3,77.3,,,,,,
2001,11,6.62,0.70,6.72,28.5,180.8,242.0,77.2,,,,,,
2001,12,6.82,0.79,6.94,28.8,181.5,244.1,77.1,,,,,,
2002,01,6.97,0.73,7.08,28.5,174.8,231.1,78.0,,,,,,
2002,02,6.95,0.72,7.06,28.5,176.7,233.7,78.0,,,,,,
2002,03,6.91,0.72,7.02,28.7,176.8,235.1,78.0,,,,,,
2002,04,7.00,0.75,7.12,28.5,183.3,243.6,77.3,,,,,,
2002,05,6.93,0.70,7.04,28.5,180.2,241.3,77.0,,,,,,
2002,06,6.80,0.66,6.90,28.6,179.4,242.2,76.8,,,,,,
2002,07,6.68,0.71,6.79,28.8,183.4,245.4,77.4,,,,,,
2002,08,6.50,0.68,6.60,28.6,182.5,245.3,77.6,,,,,,
2002,09,6.33,0.69,6.43,28.9,187.3,249.8,77.4,,,,,,
2002,10,6.20,0.69,6.30,28.5,184.0,245.0,77.7,,,,,,
2002,11,6.16,0.67,6.26,28.0,183.2,245.6,76.9,,,,,,
2002,12,6.12,0.69,6.22,28.4,204.4,266.0,79.2,,,,,,
2003,01,6.10,0.86,6.22,28.8,213.0,278.0,79.4,,,,,,
2003,02,5.94,0.41,6.00,27.7,165.4,220.3,76.6,,,,,,
2003,03,5.89,0.44,5.95,27.5,166.0,235.2,75.0,,,,,,
2003,04,5.92,0.67,6.02,28.9,199.9,260.4,78.6,,,,,,
2003,05,5.78,0.66,5.87,28.7,205.6,269.7,78.6,,,,,,
2003,06,5.54,0.69,5.64,28.5,209.1,279.2,77.6,,,,,,
2003,07,5.54,0.65,5.63,28.5,210.9,280.4,77.7,,,,,,
2003,08,5.86,0.70,5.96,28.1,201.4,268.1,77.6,,,,,,
2003,09,6.13,0.72,6.24,28.4,197.8,263.3,77.6,,,,,,
2003,10,6.06,0.67,6.16,28.1,186.1,258.9,74.6,,,,,,
2003,11,6.02,0.75,6.13,28.7,211.1,281.8,77.8,,,,,,
2003,12,5.85,0.66,5.95,28.3,180.2,244.9,77.0,,,,,,
2004,01,5.86,0.58,5.95,28.5,180.6,244.6,77.2,,,,,,
2004,02,5.90,0.63,6.00,28.0,200.6,281.0,74.0,,,,,,
2004,03,5.80,0.49,5.88,26.6,166.4,255.5,69.2,,,,,,
2004,04,5.77,0.57,5.85,27.8,197.5,279.6,73.8,,,,,,
2004,05,6.05,0.58,6.14,27.8,193.9,274.5,73.2,,,,,,
2004,06,6.02,0.60,6.11,27.5,192.6,271.2,73.1,,,,,,
2004,07,6.24,0.57,6.32,28.0,194.6,273.1,73.8,,,,,,
2004,08,6.11,0.58,6.19,28.2,204.6,282.7,75.1,,,,,,
2004,09,5.77,0.70,5.87,28.5,204.5,279.1,75.9,,,,,,
2004,10,5.90,0.59,5.99,28.1,198.4,279.7,74.0,,,,,,
2004,11,5.92,0.59,6.01,28.7,212.7,298.7,73.4,,,,,,
2004,12,6.00,0.64,6.09,28.1,223.7,309.9,75.0,,,,,,
2005,01,5.93,0.64,6.03,28.5,214.5,304.2,73.9,,,,,,
2005,02,5.94,0.55,6.02,28.5,213.0,295.9,74.5,,,,,,
2005,03,6.00,0.50,6.07,28.5,217.3,301.2,74.6,,,,,,
2005,04,6.11,0.54,6.19,28.7,199.9,282.5,73.9,,,,,,
2005,05,6.08,0.55,6.16,28.5,214.2,297.8,74.2,,,,,,
2005,06,5.93,0.56,6.01,28.9,219.3,308.0,73.9,,,,,,
2005,07,5.92,0.53,6.00,28.8,218.3,306.4,74.1,,,,,,
2005,08,6.03,0.59,6.12,28.7,225.6,312.9,74.6,,,,,,
2005,09,6.10,0.63,6.19,28.9,225.8,311.9,75.0,,,,,,
2005,10,6.14,0.67,6.23,29.1,226.6,314.9,74.7,,,,,,
2005,11,6.33,0.76,6.44,29.2,233.5,328.0,73.8,,,,,,
2005,12,6.54,0.74,6.65,29.2,247.8,345.6,73.8,,,,,,
2006,01,6.48,0.49,6.55,27.9,190.7,270.4,73.6,,,,,,
2006,02,6.54,0.59,6.63,28.9,228.5,313.5,75.1,,,,,,
2006,03,6.62,0.68,6.72,29.6,240.9,325.2,76.2,,,,,,
2006,04,6.67,0.69,6.77,29.4,234.7,317.5,76.7,,,,,,
2006,05,6.70,0.74,6.81,29.4,234.9,324.4,75.1,,,,,,
2006,06,6.76,0.80,6.88,29.2,246.2,341.1,74.8,,,,,,
2006,07,6.83,0.76,6.95,29.0,233.8,322.7,75.2,,,,,,
2006,08,6.81,0.77,6.93,29.4,238.5,331.4,74.5,,,,,,
2006,09,6.69,0.77,6.80,29.6,247.4,338.0,75.1,,,,,,
2006,10,6.61,0.85,6.74,29.7,245.4,334.5,75.4,,,,,,
2006,11,6.46,0.77,6.57,29.6,251.5,345.1,75.4,,,,,,
2006,12,6.27,0.74,6.38,29.2,246.0,338.0,74.5,,,,,,
2007,01,6.26,0.81,6.38,29.5,258.8,357.3,75.3,,,,,,
2007,02,6.18,0.77,6.30,29.4,257.3,346.6,76.0,,,,,,
2007,03,6.10,0.79,6.22,29.2,264.9,362.2,75.1,,,,,,
2007,04,6.09,0.82,6.21,29.4,258.0,356.2,75.9,,,,,,
2007,05,6.12,0.76,6.23,29.3,253.5,339.6,77.0,,,,,,
2007,06,6.43,0.89,6.56,29.4,259.6,348.8,76.6,,,,,,
2007,07,6.61,0.89,6.74,29.3,253.3,335.5,77.5,,,,,,
2007,08,6.61,0.94,6.75,29.5,254.4,335.1,78.3,,,,,,
2007,09,6.46,0.89,6.59,29.5,257.9,346.7,77.2,,,,,,
2007,10,6.43,0.84,6.55,29.4,257.5,339.1,78.7,,,,,,
2007,11,6.32,0.80,6.44,29.2,262.2,350.7,77.1,,,,,,
2007,12,6.11,0.77,6.22,29.2,263.4,341.3,79.4,,,,,,
2008,01,5.91,0.79,6.02,29.0,262.7,349.3,78.5,,,,,,
2008,02,5.86,0.67,5.96,29.2,267.7,362.3,78.1,,,,,,
2008,03,5.88,0.82,6.00,28.6,235.1,310.4,78.6,,,,,,
2008,04,5.90,0.65,5.99,28.9,246.5,336.2,76.6,,,,,,
2008,05,5.93,0.68,6.03,29.2,253.2,337.4,77.2,,,,,,
2008,06,6.01,0.93,6.15,29.1,255.6,347.0,75.6,,,,,,
2008,07,6.17,0.96,6.31,29.3,250.9,344.5,75.2,,,,,,
2008,08,6.20,1.05,6.36,29.0,259.7,355.1,75.4,,,,,,
2008,09,5.94,1.10,6.10,28.6,248.9,347.2,74.0,,,,,,
2008,10,5.97,0.92,6.11,29.3,242.8,331.3,75.2,,,,,,
2008,11,6.04,0.83,6.16,28.7,247.5,346.4,73.9,,,,,,
2008,12,5.53,0.94,5.67,29.1,256.4,352.0,75.0,,,,,,
2009,01,4.98,0.92,5.11,29.0,255.1,356.6,74.7,,,,,,
2009,02,4.97,0.86,5.09,28.9,244.9,339.6,74.2,,,,,,
2009,03,4.98,0.86,5.10,29.0,244.2,336.5,75.2,,,,,,
2009,04,4.84,0.95,4.97,29.0,238.8,325.1,75.4,,,,,,
2009,05,4.78,1.00,4.92,29.0,248.7,342.2,74.1,,,,,,
2009,06,5.02,1.17,5.18,28.9,244.8,345.6,72.4,,,,,,
2009,07,5.26,1.08,5.41,29.0,240.2,326.9,75.1,,,,,,
2009,08,5.17,1.15,5.33,28.4,237.2,329.2,73.3,,,,,,
2009,09,5.13,1.06,5.28,28.5,236.4,327.2,73.8,,,,,,
2009,10,5.02,0.94,5.15,28.7,230.7,321.0,74.1,,,,,,
2009,11,4.97,0.92,5.10,28.4,223.7,309.6,72.9,,,,,,
2009,12,4.91,0.84,5.02,28.4,244.6,345.5,72.2,,,,,,
2010,01,4.93,0.95,5.07,28.5,249.1,342.7,74.1,,,,,,
2010,02,4.98,0.89,5.10,28.3,227.8,313.5,73.9,,,,,,
2010,03,4.97,0.93,5.10,28.5,228.0,316.0,73.0,,,,,,
2010,04,5.10,0.94,5.23,27.9,234.1,319.0,74.2,,,,,,
2010,05,5.01,0.88,5.14,28.5,235.0,325.7,73.7,,,,,,
2010,06,4.89,0.86,5.01,28.1,223.4,315.8,72.7,,,,,,
2010,07,4.77,0.87,4.89,28.8,264.2,370.6,73.4,,,,,,
2010,08,4.59,0.74,4.69,28.4,253.7,347.4,73.4,,,,,,
2010,09,4.42,0.75,4.53,28.6,250.1,348.9,72.9,,,,,,
2010,10,4.31,0.63,4.40,29.1,256.5,361.9,71.3,,,,,,
2010,11,4.17,0.72,4.27,28.1,237.6,328.9,73.0,,,,,,
2010,12,4.35,0.76,4.45,28.6,249.4,339.5,74.5,,,,,,
2011,01,4.67,0.81,4.78,28.4,251.1,347.3,73.3,,,,,,
2011,02,4.91,0.68,5.00,27.2,236.8,328.1,74.1,,,,,,
2011,03,4.87,1.08,5.02,28.5,239.8,324.4,74.7,,,,,,
2011,04,4.85,0.82,4.96,28.3,241.1,329.5,75.2,,,,,,
2011,05,4.82,0.59,4.90,28.7,243.6,319.7,79.7,,,,,,
2011,06,4.58,1.15,4.74,27.7,245.8,344.6,73.7,,,,,,
2011,07,4.53,0.50,4.60,28.0,220.2,291.6,77.5,,,,,,
2011,08,4.30,0.68,4.40,24.7,210.9,295.6,75.7,,,,,,
2011,09,4.41,0.82,4.53,28.9,214.1,270.2,84.0,,,,,,
2011,10,4.18,0.56,4.26,29.3,233.6,298.7,81.3,,,,,,
2011,11,4.20,0.71,4.30,29.3,259.4,340.6,77.2,,,,,,
2011,12,4.14,0.70,4.24,28.6,256.3,334.8,79.1,,,,,,
2012,01,4.09,0.85,4.20,29.2,257.8,341.4,77.3,,,,,,
2012,02,4.05,0.89,4.17,29.4,261.6,346.0,76.9,,,,,,
2012,03,3.92,1.04,3.78,28.2,262.6,355.1,76.3,,,,,,
2012,04,3.98,1.05,4.07,28.1,265.1,353.1,76.6,,,,,,
2012,05,3.87,1.26,4.00,27.9,259.2,339.5,77.3,,,,,,
2012,06,3.76,1.24,3.88,28.5,265.2,359.4,75.8,,,,,,
2012,07,3.71,1.11,3.82,28.7,273.8,357.9,78.7,,,,,,
2012,08,3.60,1.24,3.72,28.4,265.6,353.0,76.9,,,,,,
2012,09,3.56,1.19,3.68,28.2,265.2,353.9,76.8,,,,,,
2012,10,3.50,1.39,3.63,28.4,278.3,367.0,77.5,,,,,,
2012,11,3.40,1.26,3.52,28.3,296.0,386.0,78.5,,,,,,
2012,12,3.33,1.38,3.46,28.1,288.5,377.0,78.0,,,,,,
2013,01,3.34,1.23,3.46,27.9,275.1,366.6,76.6,,,,,,
2013,02,3.42,1.19,3.54,28.1,284.4,376.1,77.2,,,,,,
2013,03,3.57,1.09,3.68,28.3,289.5,377.7,78.1,,,,,,
2013,04,3.61,1.22,3.76,27.8,286.8,382.6,76.4,,,,,,
2013,05,3.49,1.33,3.63,28.3,292.3,381.4,78.4,,,,,,
2013,06,3.59,1.15,3.71,28.4,289.6,376.6,78.7,,,,,,
2013,07,4.02,1.14,4.16,28.2,295.5,381.4,78.9,,,,,,
2013,08,4.30,1.07,4.44,28.4,303.7,391.9,79.1,,,,,,
2013,09,4.40,1.17,4.55,28.1,284.6,372.8,77.9,,,,,,
2013,10,4.43,1.35,4.58,28.2,293.1,384.6,77.6,,,,,,
2013,11,4.35,1.30,4.49,28.5,289.6,382.1,77.8,,,,,,
2013,12,4.35,1.25,4.48,28.4,301.6,388.9,79.0,,,,,,
2014,01,4.45,1.38,4.59,28.5,308.7,403.6,78.2,,,,,,
2014,02,3.98,1.35,4.11,28.2,279.8,374.4,76.9,,,,,,
2014,03,4.34,1.26,4.48,28.4,303.9,397.4,78.1,,,,,,
2014,04,4.32,1.26,4.47,28.3,308.3,406.3,77.5,,,,,,
2014,05,3.95,1.31,4.08,28.6,304.0,391.6,79.3,,,,,,
2014,06,4.25,1.21,4.38,28.4,301.0,393.2,77.8,,,,,,
2014,07,4.23,1.26,4.36,28.5,301.3,393.1,78.4,,,,,,
2014,08,4.21,1.21,4.34,28.7,298.5,388.3,78.5,,,,,,
2014,09,4.21,1.13,4.32,28.5,300.5,391.2,78.2,,,,,,
2014,10,4.18,1.28,4.31,28.5,306.0,403.5,77.6,,,,,,
2014,11,4.12,1.26,4.25,28.6,316.8,414.7,78.3,,,,,,
2014,12,4.10,1.22,4.21,28.7,320.6,414.6,79.2,,,,,,
